procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0 778872 6440640  11792 253724    0    0     0     0  652 1655 49  5 47  0  0
 4  0 778872 6440748  11792 253724    0    0     0     0  172  665 47  6 47  0  0
 4  0 778872 6440248  11800 253724    0    0     0    16  870 2068 48  6 46  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 778872 6439996  11800 253724    0    0     0     0  175  650 47  6 47  0  0
 5  0 778872 6438988  11800 253724    0    0     0     0  765 1868 49  4 47  0  0
 4  0 778872 6438484  11800 253724    0    0     0     0  168  653 48  6 47  0  0
 4  0 778872 6438484  11800 253724    0    0     0     0  850 2070 48  5 47  0  0
 4  0 778872 6437980  11808 253724    0    0     0    16  182  676 48  5 47  0  0
 4  0 778872 6437980  11808 253740    0    0     0     0  678 1690 48  6 46  0  0
 4  0 778872 6437728  11808 253740    0    0     0     0  177  665 47  6 46  0  0
 4  0 778868 6437728  11808 253740    4    0     4     0  589 1549 49  4 47  0  0
 4  0 778868 6437728  11808 253724    0    0     0     0  179  658 47  6 47  0  0
 4  0 778832 6437728  11816 253732   40    0    40    16  781 1926 48  6 46  0  0
 4  0 778832 6437728  11816 253740    0    0     0     0  173  646 48  5 47  0  0
 6  0 778832 6439492  11816 253740    0    0     0     0  892 2120 49  3 48  0  0
 4  0 778832 6438492  11816 253740    0    0     0     0  173  650 48  4 47  0  0
 4  0 778832 6439720  11816 253740    0    0     0     0  859 2068 49  3 47  0  0
 4  0 778832 6439756  11824 253740    0    0     0    16  175  666 49  4 48  0  0
 4  0 778832 6440080  11824 253740    0    0     0     0  773 1921 48  5 46  0  0
 4  0 778832 6440016  11824 253740    0    0     0     0  178  666 49  3 48  0  0
 5  0 778832 6440992  11824 253740    0    0     0     0  243  798 47  6 46  0  0
 4  0 778832 6441532  11824 253740    0    0     0     0  785 1907 48  6 47  0  0
 4  0 778832 6441532  11832 253740    0    0     0    16  182  676 48  6 46  0  0
 4  0 778832 6439772  11832 253724    0    0     0     8  828 1978 48  6 46  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 778832 6439772  11832 253724    0    0     0     0  179  666 47  6 47  0  0
 4  0 778832 6440288  11832 253724    0    0     0     0  844 2029 48  5 47  0  0
 4  0 778832 6440288  11832 253724    0    0     0     0  170  657 48  4 47  0  0
 4  0 778832 6439028  11840 253724    0    0     0    28  856 2062 48  6 46  0  0
 4  0 778832 6439028  11840 253724    0    0     0     0  169  662 48  5 47  0  0
 4  0 778824 6440288  11840 253724   12    0    12     0  874 2072 48  6 46  0  0
 4  0 778824 6439784  11840 253724    0    0     0     0  179  671 47  7 46  0  0
 4  0 778824 6439792  11840 253724    0    0     0     0  597 1567 48  5 47  0  0
 4  0 778824 6439792  11848 253720    0    0     0    16  184  672 48  5 47  0  0
 4  0 778628 6438280  11848 253724  236    0   236    12  867 2079 49  4 47  0  0
 4  0 778628 6438280  11848 253724    0    0     0     0  176  673 48  5 47  0  0
 4  0 778628 6437020  11848 253724    0    0     0     0  881 2096 49  4 48  0  0
 4  0 778628 6437020  11848 253724    0    0     0     0  162  638 48  5 47  0  0
 4  0 778620 6437020  11856 253744   36    0    36    16  582 1503 50  3 47  0  0
 4  0 778620 6437020  11856 253744    0    0     0     0  173  641 50  2 48  0  0
 4  0 778620 6437020  11856 253744    0    0     0     0  867 2086 49  4 47  0  0
 4  0 778620 6433048  11856 253744    0    0     0     0  224  682 47  7 46  0  0
 4  0 778620 6433552  11856 253744    0    0     0     0  874 2072 48  7 46  0  0
 4  0 778620 6433552  11864 253744    0    0     0    16  186  678 47  6 47  0  0
 4  0 778620 6433304  11864 253728    0    0     0     0  669 1699 48  5 46  0  0
 4  0 778620 6433304  11864 253728    0    0     0     0  176  668 48  5 47  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 778620 6433052  11864 253728    0    0     0     0  833 2040 49  3 48  0  0
 4  0 778620 6432800  11864 253732    0    0     0     0  176  677 48  5 47  0  0
 4  0 778620 6432800  11872 253732    0    0     0    16  650 1644 47  7 46  0  0
 4  0 778620 6432800  11872 253732    0    0     0     0  171  659 48  5 47  0  0
 4  0 778528 6432296  11872 253732  116    0   116     0  816 2005 49  4 47  0  0
 4  0 778520 6426672  11872 253732    0    0     0     0  222  716 48  4 48  0  0
 4  0 778520 6427316  11872 253732    0    0     0     0  867 2085 48  6 46  0  0
 4  0 778520 6427316  11880 253728    0    0     0    16  172  670 49  4 48  0  0
 4  0 778520 6428036  11880 253736    0    0     0     0  623 1607 49  4 47  0  0
 4  0 778520 6428072  11880 253736    0    0     0     0  165  656 48  4 47  0  0
 4  0 778520 6429948  11880 253736    0    0     0     0  840 2055 48  4 47  0  0
 4  0 778520 6429844  11880 253720    0    0     0     0  168  668 48  5 47  0  0
 4  0 778520 6430748  11888 253720    0    0     0    16  799 1941 48  5 47  0  0
 4  0 778520 6431000  11888 253736    0    0     0     8  164  674 49  4 47  0  0
 5  0 778520 6431512  11888 253736    0    0     0     0  846 2039 48  6 46  0  0
 4  0 778520 6431876  11888 253736    0    0     0     0  198  758 49  2 48  0  0
 4  0 778516 6431876  11888 253736    8    0     8     0  175  670 48  4 48  0  0
 4  0 778516 6433140  11896 253736    0    0     0    28  860 2060 48  5 47  0  0
 4  0 778516 6433140  11896 253736    0    0     0     0  171  658 47  7 46  0  0
 4  0 778516 6433296  11896 253736    0    0     0     0  853 2048 49  3 48  0  0
 4  0 778516 6433152  11896 253736    0    0     0     0  178  666 48  5 47  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 778516 6432144  11896 253736    0    0     0     0  859 2082 49  4 47  0  0
 4  0 778516 6432144  11904 253732    0    0     0    16  182  687 48  4 48  0  0
 5  0 778516 6431900  11904 253736    0    0     0    12  806 1955 49  4 47  0  0
 4  0 778516 6431900  11904 253736    0    0     0     0  158  643 49  3 48  0  0
 4  0 778516 6431144  11904 253736    0    0     0     0  748 1864 49  4 47  0  0
 4  0 778516 6430896  11904 253736    0    0     0     0  178  675 49  4 48  0  0
 4  0 778516 6431160  11912 253752    0    0     0    16  597 1566 49  4 47  0  0
 4  0 778516 6431668  11912 253752    0    0     0     0  181  673 48  4 48  0  0
 4  0 778516 6432176  11912 253736    0    0     0     0  814 2004 49  4 47  0  0
 4  0 778516 6431676  11912 253736    0    0     0     0  178  669 48  4 48  0  0
 4  0 778516 6431428  11912 253736    0    0     0     0  814 1975 48  6 46  0  0
 4  0 778516 6431428  11920 253736    0    0     0    16  183  686 48  5 47  0  0
 4  0 778516 6432080  11920 253736    0    0     0     0  847 2054 49  4 47  0  0
 4  0 778516 6431936  11920 253736    0    0     0     0  173  651 48  5 47  0  0
 4  0 778516 6433200  11920 253736    0    0     0     0  661 1933 49  4 47  0  0
 4  0 778516 6432948  11920 253736    0    0     0     0  181  686 49  3 48  0  0
 4  0 778516 6434340  11928 253720    0    0     0    16  847 2072 49  4 48  0  0
 4  0 778516 6434340  11928 253720    0    0     0     0  171  654 49  4 48  0  0
 4  0 778516 6433092  11928 253752    0    0     0     0  862 2061 49  4 47  0  0
 4  0 778516 6432840  11928 253752    0    0     0     0  177  659 48  4 48  0  0
 4  0 778516 6433660  11928 253752    0    0     0     0  689 1724 49  4 47  0  0
