procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0 783772 462168  34088 5555052    0    0     0     0  178  664 49  3 48  0  0
 4  0 783772 460908  34088 5555048    0    0     0    16  781 1934 48  5 47  0  0
 4  0 783772 460908  34088 5555048    0    0     0     0  182  668 49  4 48  0  0
 4  0 783772 458892  34096 5555048    0    0     0    16  852 2095 50  3 47  0  0
 4  0 783772 458640  34096 5555048    0    0     0     0  188  694 49  4 47  0  0
 4  0 783772 457128  34096 5555048    0    0     0     0  850 2052 49  4 47  0  0
 4  0 783772 456876  34096 5555048    0    0     0     0  182  677 49  4 48  0  0
 4  0 783772 455364  34096 5555048    0    0     0     4  835 2020 48  7 46  0  0
 4  0 783772 455364  34104 5555032    0    0     0    16  178  667 48  5 47  0  0
 5  0 783516 455364  34104 5555032   60    0    60     0  882 2110 48  5 47  0  0
 4  0 783516 455112  34104 5555028    0    0     0     0  166  670 48  4 47  0  0
 5  0 783516 455112  34104 5555028    0    0     0     0  178  667 48  4 47  0  0
 4  0 783516 455112  34104 5555048    0    0     0     4  780 1908 49  4 47  0  0
 4  0 783516 455112  34112 5555048    0    0     0    16  185  696 47  7 46  0  0
 4  0 783516 454860  34112 5555032    0    0     0     0  843 2043 48  6 46  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 783516 454860  34112 5555032    0    0     0     0  173  662 48  5 47  0  0
 4  0 783516 454608  34112 5555044    0    0     0     0  842 2016 48  5 46  0  0
 4  0 783516 454608  34112 5555044    0    0     0     4  182  672 48  5 47  0  0
 4  0 783516 454608  34120 5555040    0    0     0    16  811 2013 50  2 48  0  0
 4  0 783516 454608  34120 5555048    0    0     0     0  178  694 48  5 47  0  0
 4  0 783516 450008  34120 5555048    0    0     0     0  847 2094 49  4 47  0  0
 4  0 783516 450008  34120 5555048    0    0     0     0  188  694 48  6 47  0  0
 4  0 783516 449504  34120 5555052    0    0     0     0  847 2074 49  4 47  0  0
 4  0 783516 449504  34128 5555052    0    0     0    20  186  701 48  5 47  0  0
 4  0 783516 449504  34128 5555044    0    0     0     0  656 1696 48  6 46  0  0
 4  0 783516 449504  34128 5555044    0    0     0     0  178  676 48  4 47  0  0
 4  0 783516 449252  34128 5555028    0    0     0     0  808 1994 48  5 47  0  0
 4  0 783516 449252  34128 5555028    0    0     0     0  180  676 48  5 47  0  0
 4  0 783516 448508  34136 5555048    0    0     0    24  850 2071 49  4 47  0  0
 4  0 783516 448508  34136 5555048    0    0     0     0  181  674 49  3 48  0  0
 4  0 783516 442776  34136 5555048    0    0     0     0  830 1894 49  6 46  0  0
 4  0 783516 442776  34136 5555048    0    0     0     0  177  668 49  4 47  0  0
 4  0 783516 442524  34136 5555048    0    0     0     0  847 2060 49  5 47  0  0
 4  0 783516 442272  34144 5555048    0    0     0    16  199  704 48  6 47  0  0
 4  0 783516 442272  34144 5555048    0    0     0     4  846 2060 49  4 47  0  0
 4  0 783516 442020  34144 5555032    0    0     0     0  182  679 47  6 46  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 783516 441780  34144 5555048    0    0     0     0  859 2045 49  5 46  0  0
 5  0 783516 442036  34144 5555064    0    0     0     0  175  653 49  3 48  0  0
 4  0 783516 442036  34152 5555068    0    0     0    16  853 2069 49  3 48  0  0
 4  0 783516 442036  34152 5555052    0    0     0     4  187  674 48  6 47  0  0
 4  0 783516 444056  34152 5555052    4    0     4     0  935 2097 48  6 46  0  0
 4  0 783516 443848  34152 5555032    0    0     0     0  181  683 48  4 48  0  0
 4  0 783516 443848  34152 5555032    4    0     4     0  502 1338 49  5 47  0  0
 4  0 783516 443348  34160 5555032    0    0     0    16  516 1401 50  2 48  0  0
 4  0 782492 442844  34160 5555032 1280    0  1280     0  341  989 50  3 46  1  0
 4  0 782492 442344  34160 5555036    0    0     0     8  860 2044 48  5 47  0  0
 4  0 782492 442344  34160 5555036    0    0     0     0  189  690 48  4 47  0  0
 4  0 782492 441840  34160 5555032    0    0     0     0  667 1655 48  6 46  0  0
 4  0 782492 441840  34168 5555024    0    0     0    28  190  688 49  3 48  0  0
 4  0 782492 441336  34168 5555048    0    0     0     0  868 2078 49  4 47  0  0
 5  0 782492 488896  34168 5552792    0    0     0    16  242  717 48  5 47  0  0
 4  0 782492 485148  34168 5552728    0    0     0     0  883 2147 49  5 46  0  0
 4  0 782492 485172  34168 5552728    0    0     0     0  171  666 48  4 47  0  0
 4  0 782492 483420  34176 5552740    0    0     0    16  810 2023 50  3 47  0  0
 4  0 782492 482916  34176 5552748    0    0     0     0  177  679 48  5 47  0  0
 5  0 782492 482664  34176 5552744    0    0     0     0  844 2047 49  3 48  0  0
 4  0 782492 482160  34176 5552724    0    0     0     4  183  662 49  3 48  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 782492 480652  34176 5552708    0    0     0     0  800 1992 49  4 47  0  0
 4  0 782492 480652  34184 5552700    0    0     0    16  188  675 49  4 48  0  0
 4  0 782492 478396  34184 5552728    0    0     0     0  835 2021 49  3 48  0  0
 4  0 782492 478396  34184 5552724    0    0     0     0  185  669 49  4 48  0  0
 4  0 782492 477388  34184 5552708    0    0     0     4  895 2114 48  5 46  0  0
 4  0 782492 477388  34184 5552708    0    0     0     0  177  655 49  3 48  0  0
 4  0 782492 476644  34192 5552728    0    0     0    16  736 1847 49  4 47  0  0
 4  0 782492 476644  34192 5552724    0    0     0     0  170  683 49  3 48  0  0
 4  0 782492 476140  34192 5552744    0    0     0     0  837 2042 50  2 48  0  0
 4  0 782492 476140  34192 5552744    0    0     0     0  186  669 48  5 47  0  0
 4  0 782492 474376  34192 5552732    0    0     0     4  810 1983 49  5 47  0  0
 4  0 782492 474376  34200 5552732    0    0     0    16  181  679 48  5 47  0  0
 4  0 782492 473116  34200 5552724    0    0     0     0  847 2056 48  6 46  0  0
 4  0 782492 472864  34200 5552740    0    0     0     0  180  661 49  4 48  0  0
 4  0 782492 471100  34200 5552728    0    0     0     0  785 1915 49  4 47  0  0
 4  0 782492 470596  34200 5552708    0    0     0     4  178  670 49  3 48  0  0
 4  0 782492 470344  34208 5552708    0    0     0    16  837 2057 49  4 47  0  0
 4  0 782492 469840  34208 5552708    0    0     0     0  180  672 48  5 47  0  0
 4  0 782492 469336  34208 5552708    0    0     0     0  862 2056 49  4 47  0  0
 4  0 782492 468832  34208 5552712    0    0     0     0  179  672 49  3 48  0  0
 4  0 782492 468832  34208 5552712    0    0     0     0  837 2044 49  4 47  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0 782492 468832  34216 5552728    0    0     0    20  180  675 48  4 48  0  0
 5  0 782492 468832  34216 5552732    0    0     0     0  254  830 50  2 48  0  0
 4  0 782492 468832  34216 5552724    0    0     0     0  774 1906 49  3 48  0  0
 4  0 782492 468832  34216 5552724    0    0     0     0  167  683 49  3 48  0  0
 4  0 782492 468328  34216 5552724    0    0     0     0  858 2055 50  2 48  0  0
 4  0 782492 468076  34224 5552716    0    0     0    24  193  711 50  2 49  0  0
 4  0 782492 467824  34224 5552708    0    0     0     0  833 2048 49  4 47  0  0
 4  0 782492 467824  34224 5552708    0    0     0     0  179  688 50  1 49  0  0
 4  0 782492 467824  34224 5552708    0    0     0     0  810 2027 49  3 47  0  0
 4  0 782492 467824  34224 5552712    0    0     0     0  172  662 48  5 47  0  0
 4  0 782492 467320  34232 5552704    0    0     0    16  845 2061 49  3 48  0  0
 4  0 782492 467320  34232 5552712    0    0     0     8  178  678 49  4 48  0  0
 4  0 782492 466816  34232 5552716    0    0     0     0  847 2046 49  5 46  0  0
 4  0 782492 466816  34232 5552716    8    0     8     0  175  667 48  5 47  0  0
 4  0 782492 466072  34232 5552732    0    0     0     0  793 1973 48  5 47  0  0
 4  0 782492 465568  34240 5552732    0    0     0    28  188  704 49  4 48  0  0
 4  0 782492 464812  34240 5552716    0    0     0    16  847 2059 49  4 47  0  0
 4  0 782492 464812  34240 5552712    0    0     0     0  176  673 48  4 48  0  0
 4  0 782492 464560  34240 5552728    0    0     0     0  804 2007 49  5 47  0  0
 4  0 782492 464560  34240 5552724    0    0     0     0  185  664 47  6 46  0  0
 4  0 782492 464308  34248 5552728    0    0     0    16  853 2074 48  6 46  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 782492 464308  34248 5552708    0    0     0     0  185  669 48  5 47  0  0
 4  0 782492 464308  34248 5552728    0    0     0     4  850 2051 49  3 47  0  0
 4  0 782492 464308  34248 5552728    0    0     0     0  186  678 48  6 47  0  0
 4  0 782492 463300  34248 5552728    0    0     0     0  623 1580 48  6 46  0  0
 4  0 782492 463300  34256 5552728    0    0     0    16  187  700 49  4 47  0  0
 4  0 782492 463300  34256 5552712    0    0     0     0  849 2087 50  3 48  0  0
 4  0 782492 463300  34256 5552712    0    0     0     4  192  692 48  4 47  0  0
 4  0 782492 462044  34256 5552732    0    0     0     0  820 2020 49  5 47  0  0
 4  0 782492 462044  34256 5552732    0    0     0     0  178  660 49  4 47  0  0
 5  0 782492 462044  34264 5552732    0    0     0    16  869 2107 49  4 47  0  0
 4  0 782492 462044  34264 5552732    0    0     0     0  175  663 49  4 48  0  0
 4  0 782236 462044  34264 5552732  520    0   520     4  808 1982 48  6 46  0  0
 4  0 782236 462044  34264 5552732    0    0     0     0  190  685 47  6 46  0  0
 4  0 782236 457948  34264 5552732    0    0     0     0  878 2049 48  6 46  0  0
 4  0 782236 457948  34272 5552728    0    0     0    16  181  706 47  7 46  0  0
 4  0 782236 457948  34272 5552732    0    0     0     0  724 1775 48  5 46  0  0
 4  0 782236 457948  34272 5552732    0    0     0     0  163  679 49  3 48  0  0
 6  0 782236 457948  34272 5552732    0    0     0     4  211  755 48  4 47  0  0
 4  0 782236 457948  34272 5552732    0    0     0     0  730 1816 47  6 46  0  0
 6  0 782236 457948  34280 5552728    0    0     0    16  178  676 48  4 47  0  0
 4  0 782236 457948  34280 5552732    0    0     0     0  848 2068 49  4 47  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 782236 457948  34280 5552732    0    0     0     0  174  647 49  3 48  0  0
 4  0 782236 457696  34280 5552732    0    0     0     4  860 2079 49  3 47  0  0
 4  0 782236 458780  34280 5552732    0    0     0     0  247  693 49  4 48  0  0
 4  0 782236 458280  34288 5552732    0    0     0    16  848 2073 49  5 46  0  0
 4  0 782236 458280  34288 5552732    0    0     0     0  192  703 50  1 49  0  0
 4  0 782236 458028  34288 5552732    0    0     0     0  861 2059 48  5 47  0  0
 4  0 782236 458028  34288 5552732    0    0     0     0  178  669 49  3 48  0  0
 4  0 782236 458280  34288 5552732    0    0     0     4  853 2070 49  4 47  0  0
 5  0 782236 458280  34296 5552724    0    0     0    16  185  668 48  5 47  0  0
 4  0 782236 456768  34296 5552716    0    0     0     0  731 1791 49  5 47  0  0
 4  0 782236 456768  34296 5552716    0    0     0     0  183  665 48  5 47  0  0
 4  0 782236 456516  34296 5552716    0    0     0     0  860 2083 48  6 46  0  0
 4  0 782236 457568  34296 5552716    0    0     0     4  239  679 47  7 46  0  0
 4  0 782236 457320  34304 5552724    0    0     0    16  859 2085 49  5 46  0  0
 4  0 782236 457320  34304 5552724    0    0     0     0  186  679 48  5 47  0  0
 4  0 782236 457572  34304 5552720    0    0     0     0  873 2059 48  6 46  0  0
 4  0 782236 457572  34304 5552720   20    0    20     0  181  668 48  4 47  0  0
 4  0 782236 457324  34304 5552712   20    0    20     0  817 2043 50  4 47  0  0
 5  0 782236 457072  34312 5552708    0    0     0    36  175  672 48  4 48  0  0
 4  0 782236 456068  34312 5552716    0    0     0     0  693 1786 50  3 47  0  0
 4  0 782236 456068  34312 5552716    0    0     0     0  178  667 48  4 47  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 782236 455064  34312 5552716    0    0     0     0  861 2078 49  3 48  0  0
 4  0 782236 491764  34312 5551444    0    0     0     0  233  681 48  5 47  0  0
 4  0 782236 487188  34320 5551436    0    0     0    36  769 1929 48  6 46  0  0
 4  0 782236 486184  34320 5551444    0    0     0     0  188  690 50  2 49  0  0
 4  0 782236 485428  34320 5551444    0    0     0     0  650 1665 50  2 48  0  0
 4  0 782236 484672  34320 5551448    0    0     0     0  180  672 48  5 47  0  0
 4  0 782236 483664  34320 5551448    0    0     0     0  851 2075 47  7 46  0  0
 6  0 782236 483160  34328 5551444    0    0     0    16  168  663 49  2 48  0  0
 4  0 782236 482156  34328 5551444    0    0     0     0  715 1789 48  6 46  0  0
 4  0 782236 482156  34328 5551428    0    0     0     0  171  663 50  2 49  0  0
 6  0 782236 482156  34328 5551428    0    0     0     0  769 1877 48  5 46  0  0
 4  0 782236 480908  34328 5551448    0    0     0     0  174  708 49  3 48  0  0
 4  0 782236 480908  34336 5551448    0    0     0    16  181  692 50  1 49  0  0
 4  0 782236 460492  34324 4659660    0    0     0     0  751 1975 47  8 45  0  0
 4  0 782236 389776  34312 3605356    0    0     0     0  336 1380 44 11 45  0  0
 5  0 782236 378308  34316 2683100    0    0     4     0  999 2744 45 11 44  0  0
 4  0 782236 382908  34316 1799004    0    0     0     0  309 1333 47  7 46  0  0
 4  0 782236 391256  34320 1001260    0    0     0    16  994 2703 44 12 44  0  0
 8  0 782492 343796  34236 216328    0   56     0    56  254 1084 43 19 39  0  0
 6  0 788892 353160   8864 176532    0 5868  2336  5868 1805 5586  5 78 17  1  0
 5  0 816620 354388   1596 121732    0 27364  1704 27364  722 3768  3 68 28  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  9 2119184 387988   1400 110264    0 1303008   728 1303008 11534 29091 29 29 25 17  0
 4 14 3031260 413272   1092 106736   16 911524   632 911524 9893 23604 32 23  5 40  0
 2  8 3215192 426600   1124 112404   36 184176  5592 184192 6948 16183 31 13  8 48  0
 3 11 3804760 468624    952 113296   40 589448  2548 589448 7428 17213 27 18 13 42  0
 5 10 4679668 520376    904 113020   20 875076  1048 875076 6792 16253 30 21  2 47  0
 4 13 5355616 569036    848 113392   20 675872  1348 675872 7730 18373 29 18 12 42  0
 3 14 5460924 578260    860 115888    0 105320  2224 105320 4702 11538 27 10 13 50  0
 3 14 6071240 599088    820 117952   20 610540  2080 610540 7463 17727 32 19  6 44  0
 4 11 6460232 610008    828 121252   36 388664  2344 388676 8997 20966 31 15  8 46  0
 3 11 7108148 642928    772 122636   40 647736  1152 647736 9007 20980 29 20 17 35  0
 6 11 7263976 658708    720 123912   40 156024  1952 156028 4556 10593 29 16 13 42  0
 7 10 8172928 670372    720 127992   48 909148  2396 909152 10972 26213 32 29 10 30  0
 3 12 8846388 703252    712 129908   28 673116  1400 673132 11083 25879 30 23 17 30  0
 2 12 9099272 737832    720 131788   60 253316  1532 253316 8541 19226 29 14  2 55  0
 5 10 9324180 744840    720 132804   48 225052  1888 225052 3111 6862 31 13 13 44  0
12  9 9949680 715500    720 134028   16 626436  1132 626436 6233 15317 32 27 11 31  0
 0 16 10721148 728064    724 145208  120 771656  1712 771656 14689 41050 31 27 11 31  0
 5 12 11208460 777688    732 146580   48 487340  2280 487352 4982 10704 28 19  6 48  0
 4 11 11571332 811088    736 147744   60 362700  2680 362704 3840 8919 28 18  4 49  0
 4 10 11774136 793892    736 149688   36 202880  1596 202880  230 1267 31 14  6 49  0
 3 12 12338992 788468    736 150084  124 565112  1404 565112 2720 7064 29 22 14 35  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  6 12989236 765068    736 151120  120 650468  1276 650468 4902 11855 29 20 15 37  0
 3  3 13412312 853408    736 149984   40 422668   344 422668 5044 11589 23 16 14 47  0
 3  3 13684664 877704    744 150796  136 273020   184 273036  880 2339 22 18 24 36  0
 3  2 13668280 567412    744 150948 50500 22300 50776 22300 2474 5532 29  9 40 22  0
 3  2 14059784 501536    728 150880 22740 409700 22740 409700 1242 3076 25 18 37 20  0
 3  2 14472048 500264    716 151160 17040 425036 17064 425036 1591 3671 24 20 36 21  0
 3  2 14881476 508008    712 151504 14292 420544 14304 420544  857 2291 25 17 37 22  0
 3  4 15283764 503780    716 151708 16368 415388 16528 415400 1853 4328 24 18 35 22  0
 3  2 15708096 510028    720 154880 12624 433684 15780 433688  948 2610 25 17 34 25  0
 3  3 16125504 500512    720 162752 14088 428144 21608 428144 1893 4524 24 18 32 26  0
 3  2 16522168 498316    720 163168 15052 410132 15172 410132 1130 3035 24 17 36 22  0
 3  2 16762856 505920    716 162720 6668 371980  6672 371980 1656 4683 20 23 36 20  0
 4  4 16777216 337252    672 116820 28028 38012 86364 38016 4173 12248 19 30 29 22  0
 5  5 16777216 1456076    820 124560 2024 1660 105348  1688 2758 54062  1 78 12  9  0
 2  1 13372524 17933612   3444 192208 61928  136 115000   172 7070 21631 22 25 28 25  0
 4  0 13292904 21142696   3444 192488 71984    0 72368     0 3443 7263 17  9 60 15  0
 3  1 10513808 60006072   3476 194808 1808    0  3988     0  395 1156  1 43 56  1  0
 3  0 4230832 63587452   3480 187236 1140    0  8368     0  359 1194  0 40 59  1  0
 0  0 806012 64516984   3492 177100    0    0    12     0  148  804  1 22 77  0  0
 0  0 806012 64512216   3528 177120    0    0    16  1216  113  801  1  1 98  1  0
 1  0 806012 64380388   3528 177120    0    0   184     0   86  659  0  3 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 806012 64511460   3536 177356    0    0    60     0   80  639  0  2 97  0  0
 0  0 806012 64511460   3536 177356    0    0     0     0   76  649  0  0 100  0  0
 0  0 806012 64511208   3536 177612    0    0   256     0  110  701  0  4 96  0  0
 0  0 806012 64511208   3548 177612    0    0     0    40  110  727  0  0 100  0  0
 1  0 806012 64379884   3548 177612    0    0     0     0   91  663  0  3 97  0  0
 0  0 806012 64510956   3548 177612    0    0     0     0   70  619  0  2 98  0  0
 0  0 806012 64510956   3548 177612    0    0   128     0   76  646  0  0 99  0  0
 0  0 806012 64510704   3548 177612    0    0     0     0   97  707  0  4 96  0  0
 0  0 806012 64510200   3556 177732    0    0     0    16  119  753  0  0 100  0  0
 1  0 806012 64379128   3556 177732    0    0     0     0   70  644  0  2 98  0  0
 0  0 806008 64515996   3556 177752    0    0    12     0  146  777  1  3 97  0  0
 0  0 806008 64515996   3556 177752    0    0     0     0   69  629  0  0 100  0  0
 0  0 806008 64515996   3556 177752    0    0     0     0  108  722  0  5 95  0  0
 0  0 806008 64515244   3564 177744    0    0     0    16  102  713  0  0 99  0  0
 1  0 806008 64384172   3564 177744    0    0     0     0   65  630  0  1 99  0  0
 0  0 806008 64515244   3564 177752    0    0     0     0   83  650  0  3 97  0  0
 0  0 806008 64515244   3564 177752    0    0     0     0   70  630  0  0 100  0  0
 0  0 806008 64515244   3564 177752    0    0     0     0  105  704  1  4 96  0  0
 0  1 806008 64515244   3568 178400    0    0   796     0  104  708  0  0 100  0  0
 1  0 805984 64383920   3576 182788   28    0  4284    16  219  939  1  2 96  1  0
 0  0 805984 64514992   3576 182796    0    0     8     0   69  654  0  2 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 805984 64514740   3576 182796    0    0     0     0  592 1710  0  1 99  0  0
 0  0 805984 64514740   3576 182796    0    0     0     0  103  712  1  3 96  0  0
 0  0 805984 64514740   3576 182796    0    0     0   152   99  717  0  0 99  0  0
 1  0 805984 64383668   3584 182796    0    0     0    28   79  674  0  2 98  0  0
 0  0 805980 64518860   3584 182796    4    0     4     0   93  697  0  4 95  0  0
 0  0 805980 64518860   3584 182796    0    0     0     0   69  642  0  0 99  0  0
 0  0 805980 64518360   3584 182796    0    0     0     0  112  691  1  4 95  0  0
 0  0 805980 64518360   3584 182796    0    0     0     0   95  709  0  0 100  0  0
 1  0 805980 64383192   3592 182796    0    0     0    36  105  690  0  2 97  0  0
 0  0 805980 64514264   3592 182796    0    0     0     0   83  652  0  2 98  0  0
 0  0 805980 64514264   3592 182796    0    0     0     0   58  607  0  0 100  0  0
 0  0 805980 64514012   3592 182796    0    0     0     0  119  714  1  4 95  0  0
 0  0 805980 64514012   3592 182796    0    0     0     0  100  725  0  0 100  0  0
 1  0 805980 64382940   3600 182796    0    0     0    16   79  684  0  4 96  0  0
 0  0 805980 64514012   3600 182796    0    0     0     4   73  650  0  0 99  0  0
 0  0 805980 64514012   3600 182796    0    0     0     0   68  641  0  0 100  0  0
 0  0 805980 64514012   3600 182796    0    0     0     0  100  711  0  4 96  0  0
 0  0 805980 64514012   3600 182796    4    0     4     0   97  712  0  0 100  0  0
 0  0 805980 64514012   3608 182796    0    0     0    16   85  710  0  4 96  0  0
 0  0 805980 64514012   3608 182796    0    0     0     0   74  664  0  0 100  0  0
 1  0 805980 64382940   3608 182796    0    0     0     4   70  640  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 805980 64514012   3608 182796    0    0     0     0  108  713  0  4 96  0  0
 0  0 805980 64514012   3608 182796    0    0     0     0   89  696  0  0 100  0  0
 0  0 805980 64514012   3616 182796    0    0     0    16   81  674  0  1 99  0  0
 0  0 805980 64513760   3616 182796    0    0     0     0   69  633  0  0 100  0  0
 0  0 805980 64513760   3616 182796    0    0     0     0   56  611  0  0 100  0  0
 0  0 805980 64513760   3616 183408    0    0   612     4   78  660  0  0 100  0  0
 0  0 805980 64513760   3616 183408    0    0     0     0   73  657  0  0 100  0  0
 0  0 805980 64513760   3624 183408    0    0     0    16   82  676  0  0 100  0  0
 0  0 805980 64513760   3624 183408    0    0     0     0   73  662  0  0 100  0  0
 0  0 805980 64513760   3624 183408    0    0     0     0   71  643  0  0 100  0  0
 0  0 805980 64513508   3624 183408    0    0     0     0   72  653  0  0 100  0  0
 0  0 805980 64513508   3624 183408    0    0     0     4   75  669  0  0 100  0  0
 0  0 805980 64513256   3632 183408    0    0     0    16   84  682  0  0 99  0  0
 0  0 805980 64514588   3632 183408    0    0     0     0   76  659  0  1 99  0  0
 0  0 805980 64514540   3632 183408    0    0     0     0   70  657  0  0 100  0  0
 0  0 805980 64514540   3632 183408    0    0     0     0   73  636  0  0 100  0  0
 0  0 805980 64514540   3632 183408    0    0     0     0   72  654  0  0 100  0  0
 0  0 805980 64514540   3640 183408    0    0     0    20   76  662  0  0 100  0  0
 0  0 805980 64514540   3640 183408    0    0     0     0   66  629  0  0 100  0  0
 0  0 805980 64514288   3640 183408    0    0     0     0   71  644  0  0 99  0  0
 0  0 805980 64514288   3640 183408    0    0     0     0   66  640  0  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 805980 64514288   3640 183412    0    0     0     0   72  649  0  0 99  0  0
 0  0 805980 64514288   3648 183412    0    0     0    28   84  689  0  0 99  0  0
 0  0 805980 64514288   3648 183412    0    0     0     0   71  641  0  0 99  0  0
 0  0 805980 64514288   3648 183736    0    0   560     0   81  660  0  0 99  0  0
 0  0 805980 64513532   3648 183912    0    0     0     0   69  628  1  0 99  0  0
 0  0 805980 64513532   3648 183972    0    0     0     0   64  636  0  0 99  0  0
 0  0 805980 64513532   3656 183972    0    0     0    28   79  662  1  0 99  0  0
 0  0 805980 64513532   3656 183972    0    0     0    16   76  648  1  0 99  0  0
 0  0 805980 64513532   3656 183972    0    0     0     0   81  663  1  0 99  0  0
 0  0 805980 64513280   3656 183972    0    0     0     0   77  636  1  0 99  0  0
 0  0 805980 64513028   3656 183972    0    0     0     0   77  651  0  0 99  0  0
 0  0 805976 64513028   3664 183972    4    0     4    16   86  666  0  1 99  0  0
 0  0 805976 64513028   3664 183972    0    0     0     0   62  612  0  0 99  0  0
 0  0 805976 64513028   3664 183972    0    0     0     4   75  646  1  0 99  0  0
 0  0 805976 64513028   3664 183972    0    0     0     0   78  648  0  0 99  0  0
 0  0 805976 64526160   3804 183832    0    0   140     0  220  942  1  1 98  0  0
 1  0 805976 64526384   3812 183972    0    0     0    16   90  676  1  0 99  0  0
 2  0 805976 64526132   3812 183972    0    0     0     0   93  676  1  0 99  0  0
 0  0 805976 64525128   3812 183972    0    0     0     0  687 1865  1  2 98  0  0
 1  0 805976 64525128   3812 183972    0    0     0     4   62  608  0  0 99  0  0
 0  0 805976 64523368   3812 183972    0    0     0     0  736 1994  1  1 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 805976 64523120   3820 183972    0    0     0    16   85  675  0  1 99  0  0
 0  0 805976 64522008   3820 183972    0    0     0     0  707 1911  1  3 97  0  0
 0  0 805976 64522008   3820 183972    0    0     0     0   76  649  1  0 99  0  0
 0  0 805976 64522520   3820 183972    0    0     0     0  700 1894  0  2 98  0  0
 0  0 805976 64522520   3820 183972    0    0     0     4   78  661  0  1 99  0  0
 0  0 805976 64520756   3828 183956    0    0     0    16  698 1902  0  2 97  0  0
 0  0 805976 64520756   3828 183956    0    0     0     0   72  631  0  1 99  0  0
 0  0 805976 64519244   3828 183956    0    0     0     0  704 1918  1  1 98  0  0
 0  0 805976 64519244   3828 183956    0    0     0     0   77  659  1  0 99  0  0
 0  0 805976 64517984   3828 183956    0    0     0     0  704 1931  1  1 98  0  0
 0  0 805976 64517984   3836 183948    0    0     0    24   83  672  0  1 99  0  0
 2  0 805952 64517480   3836 183956   24    0    36     0  657 1828  1  1 98  0  0
 0  0 805952 64517228   3836 183952    0    0     0     0   75  636  0  0 99  0  0
 0  0 805948 64516472   3836 183952    4    0     4     0  692 1906  1  2 98  0  0
 0  0 805948 64516220   3836 183952    0    0     0     0   83  667  1  0 99  0  0
 0  0 805944 64515216   3844 183952    4    0     4    16  711 1949  1  2 97  0  0
 1  0 805944 64515468   3844 183952    0    0     0     4   73  651  1  0 99  0  0
 0  0 805944 64515216   3844 183952    0    0     0     0  711 1919  1  2 98  0  0
 0  0 805944 64514964   3844 183952    0    0     0     0   69  628  0  1 99  0  0
 1  0 805944 64514964   3844 183952    0    0     0     0   92  679  0  1 99  0  0
 0  0 805944 64515976   3852 183952    0    0     0    16  696 1903  1  2 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 805944 64515976   3852 183952    0    0     0     0   82  651  1  0 99  0  0
 0  0 805944 64516480   3852 183952    0    0     0     4  700 1909  1  1 98  0  0
 0  0 805812 64515472   3852 187236  612    0  3892     0  274 1185  0  1 97  2  0
 0  0 805812 64515980   3852 187236    0    0     0     0  698 1910  0  2 98  0  0
 0  0 805812 64515980   3860 187236    0    0     0    16   71  645  0  0 99  0  0
